game_id,category,clue,correct_response,round
9262,WAR BONDS,"General Douglas MacArthur,Syngman Rhee","$200
25",Jeopardy
9262,WAR BONDS,"Nicknamed Lucy after a song, a star in Centaurus hosts a core of this gem, 10 billion trillion trillion carats in size","$200
26",Jeopardy
9262,WAR BONDS,It's Showtime! This title serial killer dealt with the Ice Truck & Trinity killers,"$200
27",Jeopardy
9262,WAR BONDS,"The 3 witches in ""Macbeth"" chant, ""Double, double toil and trouble, fire burn, and cauldron"" this","$200
28",Jeopardy
9262,WAR BONDS,"Pretty much only in ""The Wind in the Willows"" will you find a toad in a midriffjacket","$200
30",Jeopardy
9262,STARS,"(Lindsay Lohan presents the clue.) On Friday, June 29, 2007, a newspaper announced ""fire, the wheel and now"" this item released that day--it retailed around $499 for a model with a whopping four gigabytes of storage","$200
29",Jeopardy
9262,STARS,"Saddam Hussein,""Stormin' Norman"" Schwarzkopf","$400
24",Jeopardy
9262,STARS,Castor is approximately 17 light years away from this star it shares a constellation with,"$400
23",Jeopardy
9262,STARS,"On ""Weeds"", this actress sells some well-received stuff to Snoop Dogg, who is inspired to rap about MILF weed in her honor","$400
22",Jeopardy
9262,STARS,The tale of Ali Baba & the 40 thieves gave us this door-opening phrase,"$400
21",Jeopardy
9262,TELEVISED CRIMINAL BEHAVIOR,A slide & plenty of shade are essentials if you're building a dramafield for kids,"$400
20",Jeopardy
9262,TELEVISED CRIMINAL BEHAVIOR,"(Lindsay Lohan presents the clue.) On a freaky Friday, January 17, 1969, cosmonauts on this Russian spacecraft returned home after swapping ships--but not bodies--up in space","$400
19",Jeopardy
9262,TELEVISED CRIMINAL BEHAVIOR,"Major-General Sir Colin Campbell,Florence Nightingale","$600
1",Jeopardy
9262,TELEVISED CRIMINAL BEHAVIOR,Epsilon Leonis & Mu Leonis are stars in this asterism of Leo with the name of a farming tool,"$600
10",Jeopardy
9262,TELEVISED CRIMINAL BEHAVIOR,The Donbot of the Robot Mafia hangs out in Little Bitaly on this animated show set in the 31st century,"$600
11",Jeopardy
9262,WHAT'S THAT SPELL?,"In ""The Fellowship of the Ring"", he cries, ""Naur an edraith ammen! Naur dan i ngaurhoth!"" & a tree bursts into flames","$600
15",Jeopardy
9262,WHAT'S THAT SPELL?,"The Palace of Versailles has a ""royal"" tribunallawn","$600
8",Jeopardy
9262,WHAT'S THAT SPELL?,"(Lindsay Lohan presents the clue.) Casual Fridays are said to go back to Aloha Days in Hawaii & informal clothes worn on Beer Bus Days, implemented by this then-hyphenated tech giant named for Bill & Dave","$600
18",Jeopardy
9262,WHAT'S THAT SPELL?,"George Washington,Marquis de Montcalm","$800
4",Jeopardy
9262,WHAT'S THAT SPELL?,"Called the Star of Isis in Ancient Egypt, its rise in summer forecasted the rise of the Nile River","$800
2",Jeopardy
9262,COMPOUND WORDS IN OTHER WORDS,An astounded Idris Elba rips the paper away from someone actually taking notes on a criminal conspiracy on this HBO drama,"$800
3",Jeopardy
9262,COMPOUND WORDS IN OTHER WORDS,Spell 77 in one of these funerary texts written for a man named Ramose was for transforming him into a golden hawk,"DD: $2,000
16",Jeopardy
9262,COMPOUND WORDS IN OTHER WORDS,"Though he was miles away, the heist was planned by the criminal Gurubrain","$800
6",Jeopardy
9262,COMPOUND WORDS IN OTHER WORDS,"(Jamie Lee Curtis presents the clue.) In a confession printed in ""The New York Times"", Leon Czolgosz said the words of Emma Goldman & living in Ohio led him to do the deed, the deed of shooting this man on Friday, September 6, 1901","$800
13",Jeopardy
9262,COMPOUND WORDS IN OTHER WORDS,"Henry V,Joan of Arc","$1000
5",Jeopardy
9262,FREAKIER FRIDAYS,"Arcturus, the brightest star in Boötes, is this colorful type of star, the fate of some main sequence stars","$1000
9",Jeopardy
9262,FREAKIER FRIDAYS,"Jessica Gunning researched stalker characters like Kathy Bates' in ""Misery"" to play Martha Scott on this Netflix show","$1000
12",Jeopardy
9262,FREAKIER FRIDAYS,"It's the killing curse in the Harry Potter books, & don't you dare point your wand at me when you say it","$1000
17",Jeopardy
9262,FREAKIER FRIDAYS,Cartoon & comic strip characters are often hit on the head by a falling bloompan,"$1000
7",Jeopardy
9262,FREAKIER FRIDAYS,"(Jamie Lee Curtis presents the clue.) On a Friday the 13th in 1307, Philip IV of France made claims of heresy when ordering the arrest of all members of this group named for their original headquarters in Jerusalem","$1000
14",Jeopardy
9262,STATELY BODIES OF WATER,"Major ports on this lake include Waukegan, Racine & Milwaukee","$400
30",Double Jeopardy
9262,STATELY BODIES OF WATER,"Kurt Vonnegut: ""Do not use"" these stronger-than-a-comma coordinating marks; ""all they do is show you've been to college""","$400
29",Double Jeopardy
9262,STATELY BODIES OF WATER,Wild carrots were first grown as medicine & this 300s B.C. oath guy once prescribed their seeds as a contraceptive,"$400
28",Double Jeopardy
9262,STATELY BODIES OF WATER,"Victorious Roman generals wore what was called this picta, purple with gold embroidery","$400
26",Double Jeopardy
9262,STATELY BODIES OF WATER,Vin Diesel voiced this large metal title character in a 1999 film set during the Cold War,"$400
27",Double Jeopardy
9262,WRITERS ON WRITING,Some news you can use about screws: turn 'em right to get 'em tight & in this direction to loosen things up,"$400
25",Double Jeopardy
9262,WRITERS ON WRITING,"Great Falls, Montana & Sioux City, Iowa are both found along this river","$800
24",Double Jeopardy
9262,WRITERS ON WRITING,"""Vigorous writing is concise"" is one of many pearls from this Strunk & White classic","$800
23",Double Jeopardy
9262,WRITERS ON WRITING,"""Avoid politics and cherish friendship"", said this ancient philosopher whose school of thought has been associated with hedonism","$800
22",Double Jeopardy
9262,WRITERS ON WRITING,"An alias of Washington Irving gave us this word for a Big Apple Dutch descendant, or the pants they wore","$800
21",Double Jeopardy
9262,THEY'RE ALL GREEKS TO ME,"In 1994 this actor took some days off to voice adult Simba in ""The Lion King""","$800
9",Double Jeopardy
9262,THEY'RE ALL GREEKS TO ME,"Happy 400th birthday, aka this, Gian Domenico Cassini! You don't look a day over 395","$800
18",Double Jeopardy
9262,THEY'RE ALL GREEKS TO ME,The coast of this large gulf is indented by fjords & inlets such as Cook Inlet & Prince William Sound,"$1200
15",Double Jeopardy
9262,THEY'RE ALL GREEKS TO ME,"""Stories aren't made of language... perhaps they're made of life"", said this writer of ""His Dark Materials""","$1200
12",Double Jeopardy
9262,THEY'RE ALL GREEKS TO ME,"The Parthenon is one of the many structures built during ""The Age of"" this Athenian leader","$1200
6",Double Jeopardy
9262,THE WAY WE WORE,This four-letter neckpiece of yore sounds like it might just irritate,"$1200
20",Double Jeopardy
9262,THE WAY WE WORE,In this 2005 film a character voiced by Ben Stiller has to resist his biological urge to eat a character voiced by Chris Rock,"$1200
5",Double Jeopardy
9262,THE WAY WE WORE,"If you're an Olympic sprinter, it's the unfortunate consequence of a false start, aka jumping the gun","$1200
10",Double Jeopardy
9262,THE WAY WE WORE,This bay that had a colony named for it extends southward over 40 miles from Cape Ann,"DD: $2,000
1",Double Jeopardy
9262,THE WAY WE WORE,"""My responsibility as a writer is to be as good as I can be at my craft"", wrote this woman who crafted ""On the Pulse of Morning""","$1600
4",Double Jeopardy
9262,FAMOUS ANIMATED VOICES,We can think of at least 300 reasons to know this king of Sparta who succeeded his half-brother Cleomenes I around 490 B.C.,"$1600
2",Double Jeopardy
9262,FAMOUS ANIMATED VOICES,"Some pregnant women in Edwardian times wore a ""maternity"" this, both for support & shaping","$1600
19",Double Jeopardy
9262,FAMOUS ANIMATED VOICES,John Goodman & David Spade voiced Pacha & Kuzco in this flick that has some major llama drama,"$1600
7",Double Jeopardy
9262,FAMOUS ANIMATED VOICES,"At a Sierra Club meeting, avoid ""tree hugger"" & use this less disparaging synonym for someone concerned about conservation","$1600
11",Double Jeopardy
9262,FAMOUS ANIMATED VOICES,"Some call this bay the ""Other Jersey Shore""","$2000
16",Double Jeopardy
9262,16-LETTER WORDS,"T.S. Eliot wrote that his first marriage ""brought the state of mind out of which came"" this poem; don't try that at home","$2000
14",Double Jeopardy
9262,16-LETTER WORDS,"In this play by Aristophanes, we hear, ""O women, if we would compel the men to bow to peace, we must refrain--""","DD: $4,400
3",Double Jeopardy
9262,16-LETTER WORDS,"Sounding like the name of Blackadder's much put-upon retainer, it's the term for a belt worn across the chest","$2000
17",Double Jeopardy
