category,theme
WAR BONDS,HISTORY
STARS,SCIENCE
TELEVISED CRIMINAL BEHAVIOR,POTPOURRI & GENERAL
WHAT'S THAT SPELL?,POTPOURRI & GENERAL
COMPOUND WORDS IN OTHER WORDS,LANGUAGE & WORDS
FREAKIER FRIDAYS,POTPOURRI & GENERAL
STATELY BODIES OF WATER,GEOGRAPHY
WRITERS ON WRITING,LITERATURE
THEY'RE ALL GREEKS TO ME,LANGUAGE & WORDS
THE WAY WE WORE,POTPOURRI & GENERAL
FAMOUS ANIMATED VOICES,QUOTES & PHRASES
16-LETTER WORDS,LANGUAGE & WORDS
20th CENTURY NAMES,HISTORY
WORLD GEOGRAPHY,GEOGRAPHY
THE MOVIES,MOVIES & TV
INVENTORS & INVENTIONS,POTPOURRI & GENERAL
KID LIT EN ESPAÑOL,POTPOURRI & GENERAL
THE MYTH BEHIND THE ZODIAC SIGN,RELIGION & MYTHOLOGY
"IT STARTS WITH ""ME""",SCIENCE
CLASSICAL MUSIC,MUSIC
REALITY TV,MOVIES & TV
GEOGRAPHIC LITERARY TITLES,POTPOURRI & GENERAL
WHAT ARE WE GOING TO DO NOW?,POTPOURRI & GENERAL
I'M BORED,POTPOURRI & GENERAL
A SENSE OF HENRI,POTPOURRI & GENERAL
THEORIES,POTPOURRI & GENERAL
TRY ME A RIVER,GEOGRAPHY
BLANK CANVAS,POTPOURRI & GENERAL
NO LONGER IN PRINT,POTPOURRI & GENERAL
POTPOURRI,POTPOURRI & GENERAL
WORD & PHRASE ORIGINS,LANGUAGE & WORDS
A JAVIER BARDEM RETROSPECTIVE,POTPOURRI & GENERAL
RUSSIAN HISTORY,HISTORY
GREAT LITERATURE BEFORE 2000,HISTORY
ALL ABOUT ANIMALS,SCIENCE
HERE COMES TRUFFLE,POTPOURRI & GENERAL
NOT OUR WEDDING SONG,MUSIC
"3 ""O""s",POTPOURRI & GENERAL
FAMOUS BUILDINGS,QUOTES & PHRASES
EXODUSTERS,POTPOURRI & GENERAL
THROWING COPPER,POTPOURRI & GENERAL
REVISING THE ATLAS,POTPOURRI & GENERAL
BEASTLY ENDINGS,POTPOURRI & GENERAL
PUT THE FRIES IN THE BAG,POTPOURRI & GENERAL
BRO,POTPOURRI & GENERAL
THE PULITZER PRIZE FOR FICTION,LITERATURE
STATUES AROUND THE WORLD,GEOGRAPHY
TO PUT IT IN ANTHROPOLOGICAL TERMS,POTPOURRI & GENERAL
MILLENNIALS,POTPOURRI & GENERAL
ON THE MOVIE SOUNDTRACK,MOVIES & TV
ENDS WITH 3 CONSONANTS,POTPOURRI & GENERAL
LANGUAGES IN HISTORY,HISTORY
SHAKESPEAREAN SETTINGS,LITERATURE
PEOPLE WORKING OUT SOME ISSUES,POTPOURRI & GENERAL
WOMEN,POTPOURRI & GENERAL
VEGETARIAN TALK,POTPOURRI & GENERAL
HIT THE ROAD,POTPOURRI & GENERAL
SWITCHING SPORTS,SPORTS
A YEAR-O WITH A ZERO IN IT,POTPOURRI & GENERAL
CITIES IN PROXIMITY,GEOGRAPHY
NONFICTION,LITERATURE
STAND-UP SPECIALISTS,POTPOURRI & GENERAL
LOTS OF KNOTS,POTPOURRI & GENERAL
"HEY ""EU""!",POTPOURRI & GENERAL
MYTHOLOGICAL PLACES,GEOGRAPHY
WARLOCKS,HISTORY
AROUND SOUTH AMERICA,POTPOURRI & GENERAL
AMBROSE BIERCE'SDEVIL'S DICTIONARY,LANGUAGE & WORDS
FEELING SHEEPISH,POTPOURRI & GENERAL
AT THE AIRPORT,TECHNOLOGY
THE FIRST U.S. PRESIDENT TO...,HISTORY
WAR LOCKS,HISTORY
TV KIDS,MOVIES & TV
INTERNATIONAL COMMERCE,GEOGRAPHY
LITERATURE,LITERATURE
DON'T EAT THE PICTURES,POTPOURRI & GENERAL
"""MP""",POTPOURRI & GENERAL
SCIENCE WORDS,SCIENCE
AUNTIE DEFAMATION LEAGUE,SPORTS
MOVIE TITLES IN ITALIANO,MOVIES & TV
"OH DEAR, THEY DIED",POTPOURRI & GENERAL
NOTHING COMPARES 2 U,POTPOURRI & GENERAL
THERE'S ALWAYS A TIME,WORDPLAY
WHEN YOU MUST STAND FOR SOMETHING,POTPOURRI & GENERAL
A HOTEL MOST UNUSUAL,POTPOURRI & GENERAL
BRITISHISMS,POTPOURRI & GENERAL
OPERA CHARACTERS,MUSIC
FABRICS & MATERIALS,POTPOURRI & GENERAL
A DOSE OF MATH,POTPOURRI & GENERAL
"""N""TERTAINMENT",TECHNOLOGY
AMERICAN NOVELS,LITERATURE
MILITARY BASES,POTPOURRI & GENERAL
PICTURE THE GRAMMY-WINNING BAND,MUSIC
THE TENTH,POTPOURRI & GENERAL
"PLANES, NO TRAINS BUT SOME AUTOMOBILES",TECHNOLOGY
NAME THAT BIBLE BOOK,LITERATURE
COCKNEY RHYMING SLANG,LANGUAGE & WORDS
EGYPTIAN HISTORY,HISTORY
ONE WORD ON THE THEATER MARQUEE,ART & CULTURE
SCIENTISTS,POTPOURRI & GENERAL
3 CONSONANTS IN A ROW,POTPOURRI & GENERAL
PUBLIC TELEVISION,MOVIES & TV
AMERICAN FAMILIES,POTPOURRI & GENERAL
U.S.A.,POTPOURRI & GENERAL
DRUMS & PERCUSSION,POTPOURRI & GENERAL
KING ME,POTPOURRI & GENERAL
SINGLE,POTPOURRI & GENERAL
"""DOUBLE""",POTPOURRI & GENERAL
HOMER,POTPOURRI & GENERAL
CAN HE HIT FOR THE CYCLE?,POTPOURRI & GENERAL
SCIENCE QUIZ,SCIENCE
BEFORE & AFTER,WORDPLAY
DOING TIME TOGETHER,WORDPLAY
MOVIES SET IN THE 1920s,MOVIES & TV
IT'S BORDERLINE,GEOGRAPHY
THAT SHIP HAS SAILED,TECHNOLOGY
THEATER,ART & CULTURE
THE PREVIOUS WORLD LEADER,GEOGRAPHY
WORDS OF WEATHER,SCIENCE
A STICKY SITUATION,POTPOURRI & GENERAL
"""M""EDICAL",POTPOURRI & GENERAL
DOUGH,POTPOURRI & GENERAL
"RAY, ME",POTPOURRI & GENERAL
IN THE WORLD'S FAIR HOST CITY,GEOGRAPHY
MORE THAN ONE MEANING,POTPOURRI & GENERAL
FIZZY DRINKS,FOOD & DRINK
BILLBOARDNO. 1 HITS,POTPOURRI & GENERAL
NAME THE AUTHOR,LITERATURE
THIS CATEGORY IS FIRE,POTPOURRI & GENERAL
AWARDS,HISTORY
BOOK EXCERPTS,LITERATURE
WHERE NOT ON EARTH...?!,ART & CULTURE
