round	clue_value	daily_double_value	category	comments	answer	question	air_date	notes
1	100	0	LAKES & RIVERS		River mentioned most often in the Bible	the Jordan	1984-09-10	
1	200	0	LAKES & RIVERS		Scottish word for lake	loch	1984-09-10	
1	400	0	LAKES & RIVERS		American river only 33 miles shorter than the Mississippi	the Missouri	1984-09-10	
1	500	0	LAKES & RIVERS		World's largest lake, nearly 5 times as big as Superior	the Caspian Sea	1984-09-10	
1	100	0	INVENTIONS		Marconi's wonderful wireless	a radio	1984-09-10	
1	200	0	INVENTIONS		In 1869 an American minister created this "oriental" transportation	a rickshaw	1984-09-10	
1	300	0	INVENTIONS		A 1920's hunting trip to Canada inspired Birdseye's food preserving method	freezing	1984-09-10	
1	400	0	INVENTIONS		This fastener gets its name from a brand of galoshes it was used on	a zipper	1984-09-10	
1	100	0	ANIMALS		These rodents first got to America by stowing away on ships	rats	1984-09-10	
1	200	0	ANIMALS		There are about 40,000 muscles & tendons in this part of an elephant's body	the trunk	1984-09-10	
1	300	0	ANIMALS		When husbands "pop" for an ermine coat, they're actually buying this fur	a weasel	1984-09-10	
1	400	0	ANIMALS		Close relative of the pig, though its name means "river horse\"	a hippopotamus	1984-09-10	
1	500	0	ANIMALS		If this species of hybrid's parents were reversed, you'd get a hinny	mule	1984-09-10	
1	100	0	FOREIGN CUISINE		The "coq" in coq au vin	chicken	1984-09-10	
1	200	0	FOREIGN CUISINE		A British variety is called "bangers", a Mexican variety, "chorizo\"	sausages	1984-09-10	
1	300	0	FOREIGN CUISINE		Jewish crepe filled with cheese	a blintz	1984-09-10	
1	400	0	FOREIGN CUISINE		French for a toothsome cut of beef served to a twosome	Châteaubriand	1984-09-10	
1	100	0	ACTORS & ROLES		Video in which Michael Jackson plays a werewolf & a zombie	\"Thriller\"	1984-09-10	
1	200	0	ACTORS & ROLES		2 "Saturday Night" alumni who tried "Trading Places\"	Dan Aykroyd & Eddie Murphy	1984-09-10	
